2024-02-05T09:50:38.520737
,Long Name,Sector,Price,Trailing PE,Forward PE,Market Cap,Dividend Yield,Payout Ratio
ZION,"Zions Bancorporation, National Association",Financial Services,44.5,10.11954,9.611354,6521.69472,3.73,37.7
ZTS,Zoetis Inc.,Healthcare,189.21,39.085716,31.813953,87929.511936,0.8999999999999999,29.53
AADI,"Aadi Bioscience, Inc.",Healthcare,1.78,,-0.6891386,45.127656,,
AAN,"The Aaron's Company, Inc.",Industrials,10.77,34.3,9.440367,312.08848,4.8600003,162.5
AAON,"AAON, Inc.",Industrials,73.81,34.224392,30.372297,5700.14208,0.4599999999999999,19.510001
AAT,"American Assets Trust, Inc.",Real Estate,23.25,27.353659,30.726027,1725.00608,5.88,159.76
ABCB,Ameris Bancorp,Financial Services,50.89,12.760925,10.213991,3427.805696,1.21,15.42
ABCL,AbCellera Biologics Inc.,Healthcare,5.25,,-8.377049,1482.76864,,
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,214.95,5.002632,6.5087175,4301.91104,,
ABM,ABM Industries Incorporated,Industrials,41.99,10.762533,11.267957,2564.104448,2.21,23.22
ABR,"Arbor Realty Trust, Inc.",Real Estate,14.0,7.5141244,7.3888893,2507.076608,12.93,93.22
ABSI,Absci Corporation,Healthcare,3.93,,-5.3513513,368.036448,,
ABUS,Arbutus Biopharma Corporation,Healthcare,2.46,,-5.5116277,397.437152,,
AC,"Associated Capital Group, Inc.",Financial Services,33.86,21.389936,13.131274,734.316672,0.58999998,12.58
ACA,"Arcosa, Inc.",Industrials,80.21,13.312924,23.865854,3816.932864,0.26,3.4000000000000004
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,26.64,,25.40196,4253.903872,,
ACCD,"Accolade, Inc.",Healthcare,12.18,,-10.107142,876.254016,,
ACCO,ACCO Brands Corporation,Industrials,6.26,10.4827585,4.9836063,577.147648,4.93,51.72
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,10.41,20.918367,12.202381,869.233792,,
ACET,"Adicet Bio, Inc.",Healthcare,2.87,,-1.1325758,245.330976,,
ACHR,Archer Aviation Inc.,Industrials,4.97,,-4.7821784,1452.757632,,
ACIW,"ACI Worldwide, Inc.",Technology,30.65,38.551285,22.954199,3269.30048,,
ACLS,"Axcelis Technologies, Inc.",Technology,130.53,18.631805,17.0,4258.812416,,
ACLX,"Arcellx, Inc.",Healthcare,63.03,,-28.10909,3211.270912,,
ACMR,"ACM Research, Inc.",Technology,17.76,15.944443,12.47826,1043.666304,,
ACNB,ACNB Corporation,Financial Services,42.79,10.520215,10.634877,332.201888,3.0700000000000003,30.73
ACRE,Ares Commercial Real Estate Corporation,Real Estate,10.07,158.5,11.457831,514.87712,13.88,2266.6698
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,1.21,,-0.9666666,82.169992,,
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,3.7,,-1.2126247,81.0092,,
ACT,"Enact Holdings, Inc.",Financial Services,29.07,7.1047378,7.762943,4549.938688,2.25,14.96
ACVA,ACV Auctions Inc.,Consumer Cyclical,13.4,,-48.037037,2093.863936,,
ADC,Agree Realty Corporation,Real Estate,60.09,35.064705,32.752747,6012.681728,4.7,170.47
ADEA,Adeia Inc.,Technology,12.47,10.465518,8.861314,1301.08032,1.65,17.24
ADMA,"ADMA Biologics, Inc.",Healthcare,5.36,,22.565218,1172.773888,,
ADNT,Adient plc,Consumer Cyclical,35.23,16.144184,8.016167,3167.145216,,
ADPT,Adaptive Biotechnologies Corporation,Healthcare,3.95,,-3.2477877,531.316896,,
ADTH,"AdTheorent Holding Company, Inc.",Communication Services,2.84,38.857143,54.4,240.017984,,
ADTN,"ADTRAN Holdings, Inc.",Technology,6.46,,52.208332,493.049216,5.74,900.0
ADUS,Addus HomeCare Corporation,Healthcare,88.39,24.532578,18.231579,1404.193024,,
ADV,Advantage Solutions Inc.,Communication Services,4.13,,8.22449,1315.367808,,
AEIS,"Advanced Energy Industries, Inc.",Industrials,106.61,28.542465,19.256931,3883.903232,0.38,10.96
AEL,American Equity Investment Life Holding Company,Financial Services,55.38,62.033707,7.700139,4362.95936,,40.45
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,20.17,17.855856,12.624204,3915.203072,2.52,27.03
AEVA,"Aeva Technologies, Inc.",Technology,0.83,,-1.5214286,223.129424,,
AFCG,"AFC Gamma, Inc.",Real Estate,11.81,7.2875,5.605769,238.536784,16.469998999999998,130.0
AFMD,Affimed N.V.,Healthcare,0.54,,-0.82238805,82.285792,,
AGEN,Agenus Inc.,Healthcare,0.6301,,-1.8032433,254.533488,,
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,22.79,,-4.51497,1264.261248,,
AGM,Federal Agricultural Mortgage Corporation,Financial Services,193.0,12.065414,10.977608,1970.370688,2.3599999,27.53
AGTI,"Agiliti, Inc.",Healthcare,7.45,,12.224138,956.043968,,
AGX,"Argan, Inc.",Industrials,45.3,17.947369,13.35241,590.825856,2.71,42.509997
AGYS,"Agilysys, Inc.",Technology,85.91,25.83642,65.91338,2290.012672,,
AHCO,AdaptHealth Corp.,Healthcare,7.26,,10.463768,984.735744,,
AHH,"Armada Hoffler Properties, Inc.",Real Estate,12.07,34.17143,49.833336,1064.96736,6.52,220.00000000000003
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,1.6,,-0.3167939,63.372824,,
AI,"C3.ai, Inc.",Technology,25.32,,-91.77778,2970.254848,,
AIN,Albany International Corp.,Consumer Cyclical,92.3,28.136076,21.84521,2773.992192,1.17,31.65
AIP,"Arteris, Inc.",Technology,6.54,,-10.491526,228.128736,,
AIR,AAR Corp.,Industrials,61.92,31.842932,14.762136,2159.268096,,
AIRS,"AirSculpt Technologies, Inc.",Healthcare,7.64,,36.3,416.4024,,
AIT,"Applied Industrial Technologies, Inc.",Industrials,182.68,18.516266,17.505953,6823.620096,0.84,14.69
AIV,Apartment Investment and Management Company,Real Estate,7.66,,-43.70588,1082.996736,,
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,9.27,,-7.0522385,100.42704,,
AKR,Acadia Realty Trust,Real Estate,17.53,71.083336,94.77777,1853.449472,4.22,300.0
AKRO,"Akero Therapeutics, Inc.",Healthcare,22.4,,-6.10452,1203.888768,,
AKTS,"Akoustis Technologies, Inc.",Technology,0.6,,-1.3654761,56.548132,,
AKYA,"Akoya Biosciences, Inc.",Healthcare,4.94,,-5.521739,249.307088,,
ALCO,"Alico, Inc.",Consumer Defensive,30.0,122.66667,34.635292,224.217392,0.6799999999999999,83.33
ALE,"ALLETE, Inc.",Utilities,60.0,13.714618,14.381995,3397.489152,4.77,62.240005
ALEC,"Alector, Inc.",Healthcare,5.65,,-2.7465436,566.2352,,
ALEX,"Alexander & Baldwin, Inc.",Real Estate,17.69,26.646154,33.307693,1256.328704,5.140000000000001,135.38
ALG,Alamo Group Inc.,Industrials,216.4,19.004477,16.794304,2549.86496,0.49,7.52
ALGT,Allegiant Travel Company,Industrials,79.22,8.385027,10.652174,1442.65408,1.53,6.419999999999999
ALHC,"Alignment Healthcare, Inc.",Healthcare,6.94,,-11.551724,1266.969984,,
ALIT,"Alight, Inc.",Technology,9.07,,12.219178,4875.279872,,
ALKS,Alkermes plc,Healthcare,27.36,21.814516,10.734127,4514.130944,,
ALKT,"Alkami Technology, Inc.",Technology,24.81,,144.82353,2347.807488,,
ALLO,"Allogene Therapeutics, Inc.",Healthcare,3.6,,-1.9775281,592.33504,,
ALPN,"Alpine Immune Sciences, Inc.",Healthcare,25.67,,-19.28261,1545.98784,,
ALRM,"Alarm.com Holdings, Inc.",Technology,62.2,47.515625,29.10048,3040.258048,,
ALRS,Alerus Financial Corporation,Financial Services,24.39,39.15517,12.758427,448.161408,3.34,129.31
ALTG,Alta Equipment Group Inc.,Industrials,10.97,48.636364,56.31579,346.338656,2.1300001,103.64
ALTO,"Alto Ingredients, Inc.",Basic Materials,1.95,,30.666668,140.0976,,
ALTR,Altair Engineering Inc.,Technology,86.59,,72.666664,6942.885888,,
ALVR,"AlloVir, Inc.",Healthcare,0.7061,,-1.6000001,82.12536,,
ALX,"Alexander's, Inc.",Real Estate,222.51,11.352789,16.893927,1122.5312,8.189999,92.980003
ALXO,ALX Oncology Holdings Inc.,Healthcare,14.29,,-4.225806,717.888896,,
AMAL,Amalgamated Financial Corp.,Financial Services,27.28,9.127148,8.097561,808.178304,1.50999995,13.750000000000002
AMBA,"Ambarella, Inc.",Technology,54.54,,-61.11628,2115.440128,,
AMBC,"Ambac Financial Group, Inc.",Financial Services,16.34,3.8325474,40.625,734.410624,,
AMCX,AMC Networks Inc.,Communication Services,18.46,,2.7203007,787.953344,,
AMEH,"Apollo Medical Holdings, Inc.",Healthcare,36.06,33.413464,24.821428,1557.418496,,
AMK,"AssetMark Financial Holdings, Inc.",Financial Services,31.25,19.915585,12.170635,2277.719808,,
AMKR,"Amkor Technology, Inc.",Technology,32.73,19.304878,15.443903,7781.01504,1.0,18.290001
AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,15.76,1600.0,9.69697,1080.2848,,
AMN,"AMN Healthcare Services, Inc.",Healthcare,75.22,10.726088,15.13497,2796.771328,,
AMNB,American National Bankshares Inc.,Financial Services,47.65,18.41057,18.870832,481.586688,2.6400002,48.78
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,55.14,20.84375,14.38275,2556.338944,,
AMPL,"Amplitude, Inc.",Technology,13.06,,108.0,1542.888064,,
AMPS,"Altus Power, Inc.",Utilities,5.4,9.981481,179.66667,856.956096,,
AMPY,Amplify Energy Corp.,Energy,6.25,0.6566524,5.719626,239.271792,,
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,401.46,7.887001,12.638176,5303.344128,0.5,3.67
AMRC,"Ameresco, Inc.",Industrials,21.18,23.21591,11.043243,1067.150848,,
AMRK,"A-Mark Precious Metals, Inc.",Financial Services,26.9,5.107954,4.948624,626.00064,2.97,15.15
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,5.48,89.166664,8.916666,1640.010368,,
AMSF,"AMERISAFE, Inc.",Financial Services,49.17,15.057402,19.243244,956.015936,2.73,40.18
AMSWA,"American Software, Inc.",Technology,11.37,37.766666,28.324999,387.106432,3.88,146.67
AMTB,Amerant Bancorp Inc.,Financial Services,23.02,23.552084,8.729731,762.775488,1.59,37.5
AMTX,"Aemetis, Inc.",Energy,3.63,,-3.401869,143.802944,,
AMWD,American Woodmark Corporation,Consumer Cyclical,94.39,13.403818,10.142222,1462.889728,,
AMWL,American Well Corporation,Healthcare,1.08,,-1.5,301.947424,,
ANAB,"AnaptysBio, Inc.",Healthcare,23.78,,-3.619632,627.17472,,
ANDE,"The Andersons, Inc.",Consumer Defensive,54.23,27.742105,13.446428,1779.083648,1.4400001,38.950002
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,105.35,25.475,16.072556,5136.320512,,
ANGO,"AngioDynamics, Inc.",Healthcare,6.01,,-23.6,235.14568,,
ANIK,"Anika Therapeutics, Inc.",Healthcare,24.55,,-75.87097,344.353984,,
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,54.53,103.37037,13.011655,1140.218368,,
ANTX,"AN2 Therapeutics, Inc.",Healthcare,19.39,,-6.348684,574.009024,,
AOMR,"Angel Oak Mortgage REIT, Inc.",Real Estate,10.98,,9.1982765,266.37976,12.0,47.52
AORT,"Artivion, Inc.",Healthcare,16.97,,-836.0,686.332544,,
AOSL,Alpha and Omega Semiconductor Limited,Technology,26.16,,18.198582,712.950272,,
APAM,Artisan Partners Asset Management Inc.,Financial Services,42.8,13.134796,12.04023,2874.340096,6.4899996,72.410005
APEI,"American Public Education, Inc.",Consumer Defensive,10.4,,19.962265,188.15048,,
APG,APi Group Corporation,Industrials,32.47,87.55555,17.318682,7675.214848,,
APLD,Applied Digital Corporation,Financial Services,5.35,,12.238095,627.311296,,
APLE,"Apple Hospitality REIT, Inc.",Real Estate,16.48,23.275362,19.349398,3674.640384,5.98,139.13001
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,66.23,,-47.946968,7499.865088,,
APOG,"Apogee Enterprises, Inc.",Industrials,54.83,11.236171,12.002273,1166.314112,1.89,20.43
APPF,"AppFolio, Inc.",Technology,224.18,3132.2856,44.29495,7841.19808,,
APPN,Appian Corporation,Technology,33.76,,-54.38333,2389.432832,,
APPS,"Digital Turbine, Inc.",Technology,5.67,,7.811594,546.050112,,
ARCB,ArcBest Corporation,Industrials,122.4,22.102041,11.679412,2818.842112,0.4,8.9099996
ARCH,"Arch Resources, Inc.",Basic Materials,180.0,4.3160977,6.508275,3250.702336,4.4099998000000005,16.88
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,32.46,8.768618,-10.021277,881.067264,,
AREN,"The Arena Group Holdings, Inc.",Communication Services,1.62,,-1.2439024,36.467396,,
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,11.62,,9.620689,1577.566464,12.54,168.67000000000002
ARIS,"Aris Water Solutions, Inc.",Utilities,8.73,17.755102,8.446602,501.924736,4.14,73.47
ARKO,Arko Corp.,Consumer Cyclical,7.99,23.636364,28.88889,911.110208,1.54,36.360002
ARL,"American Realty Investors, Inc.",Real Estate,21.5,7.1928105,,355.505536,,
ARLO,"Arlo Technologies, Inc.",Industrials,8.97,,22.769232,840.301952,,
AROC,"Archrock, Inc.",Energy,16.83,30.83019,17.382978,2549.98784,4.04,113.21
AROW,Arrow Financial Corporation,Financial Services,26.29,12.532339,10.281632,429.623008,4.3,52.06
ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,5.84,,-2.2664094,568.172544,,
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,19.42,,4.680589,933.362304,15.12,2400.0
ARRY,"Array Technologies, Inc.",Technology,13.4,33.94872,10.425197,2002.09984,,
ARTNA,Artesian Resources Corporation,Utilities,37.0699,23.248407,18.25,378.147296,3.17,71.639997
ARVN,"Arvinas, Inc.",Healthcare,39.49,,-5.8698726,2283.558144,,
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,32.91,,-9.907407,3975.199488,,
ASAN,"Asana, Inc.",Technology,18.17,,-79.181816,3876.559872,,
ASB,Associated Banc-Corp,Financial Services,21.28,18.59292,8.978633,3173.287168,4.19,75.22
ASC,Ardmore Shipping Corporation,Industrials,16.55,4.8879056,5.7937064,684.321088,6.94,29.2
ASGN,ASGN Incorporated,Technology,95.29,20.4,15.705585,4381.104128,,
ASIX,AdvanSix Inc.,Basic Materials,26.24,7.690909,17.148647,684.084864,2.52,18.030001
ASLE,AerSale Corporation,Industrials,9.75,77.5,9.117647,492.475936,,
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,64.12,9.710526,8.308609,4651.51744,0.5700000000000001,5.3400002
ASPN,"Aspen Aerogels, Inc.",Industrials,11.59,,-46.791664,857.045504,,
ASTE,"Astec Industries, Inc.",Industrials,36.02,46.233765,13.040293,809.51904,1.46,67.04
ASTR,"Astra Space, Inc.",Industrials,2.04,,-0.528,44.875316,,
ATEC,"Alphatec Holdings, Inc.",Healthcare,16.33,,-16.760418,2193.08288,,
ATEN,"A10 Networks, Inc.",Technology,13.59,25.711538,16.304878,991.227712,1.7999999999999998,46.150002
ATER,"Aterian, Inc.",Consumer Cyclical,0.3,,-0.8249999,26.793348,,
ATEX,Anterix Inc.,Communication Services,30.19,74.549995,-12.221311,559.712448,,
ATGE,Adtalem Global Education Inc.,Consumer Defensive,50.79,18.09319,10.516666,1978.215296,,
ATHA,"Athira Pharma, Inc.",Healthcare,3.09,,-1.0566667,120.633088,,
ATI,ATI Inc.,Industrials,41.81,19.743961,16.88843,5214.071808,,
ATIP,"ATI Physical Therapy, Inc.",Healthcare,6.39,,-0.44613162,25.971134,,
ATKR,Atkore Inc.,Industrials,155.63,8.832078,8.488036,5666.382848,0.84,
ATLC,Atlanticus Holdings Corporation,Financial Services,34.99,8.419903,6.4240737,506.040352,,
ATNI,"ATN International, Inc.",Communication Services,37.6,,-461.25003,569.053376,2.3599999,68.69
ATOM,Atomera Incorporated,Technology,7.91,,-15.115385,202.780144,,
ATRA,"Atara Biotherapeutics, Inc.",Healthcare,0.62,,-0.42135134,63.55856,,
ATRC,"AtriCure, Inc.",Healthcare,34.05,,-49.36232,1614.27712,,
ATRI,Atrion Corporation,Healthcare,338.0,28.169014,,598.3456,2.5899999,71.669996
ATRO,Astronics Corporation,Industrials,17.41,,24.157143,578.244224,,
ATSG,"Air Transport Services Group, Inc.",Industrials,15.9,10.466216,9.803797,1011.077184,,
AUB,Atlantic Union Bankshares Corporation,Financial Services,35.02,13.501976,10.076695,2562.795776,3.75,48.220003
AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,7.72,,-21.542858,1082.804352,,
AURA,"Aura Biosciences, Inc.",Healthcare,8.1,,-4.350282,379.301216,,
AVA,Avista Corporation,Utilities,34.38,15.45909,14.112032,2631.271936,5.41,82.73
AVAH,Aveanna Healthcare Holdings Inc.,Healthcare,2.32,,-32.857143,438.685888,,
AVAV,"AeroVironment, Inc.",Industrials,123.08,,36.668694,3394.218496,,
AVD,American Vanguard Corporation,Basic Materials,10.87,68.25,16.545454,313.954368,1.1,75.0
AVDX,"AvidXchange Holdings, Inc.",Technology,11.22,,73.066666,2226.502144,,
AVIR,"Atea Pharmaceuticals, Inc.",Healthcare,4.06,,-1.4751773,347.09168,,
AVNS,"Avanos Medical, Inc.",Healthcare,19.5,51.864864,13.514085,890.907264,,
AVNT,Avient Corporation,Basic Materials,36.77,106.5,14.312253,3300.954112,2.8399998,291.18
AVNW,"Aviat Networks, Inc.",Technology,30.71,19.121796,7.571066,371.586336,,
AVO,"Mission Produce, Inc.",Consumer Defensive,10.23,,32.225807,706.589632,,
AVPT,"AvePoint, Inc.",Technology,7.74,,55.0,1414.197376,,
AVTE,"Aerovate Therapeutics, Inc.",Healthcare,19.0,,-7.5429688,534.286432,,
AVXL,Anavex Life Sciences Corp.,Healthcare,6.27,,-19.258064,490.056352,,
AWR,American States Water Company,Utilities,75.68,22.46988,25.033556,2758.752768,2.31,48.870000000000005
AX,"Axos Financial, Inc.",Financial Services,60.0,8.224036,8.954765,3153.889536,,
BTAI,"BioXcel Therapeutics, Inc.",Healthcare,3.43,,-1.2828685,96.3746,,
BTU,Peabody Energy Corporation,Energy,26.84,3.4947646,7.0078745,3500.370176,1.12,1.96
BUSE,First Busey Corporation,Financial Services,24.5,10.798165,10.103005,1300.446208,4.0799998,44.04
BV,"BrightView Holdings, Inc.",Industrials,9.07,,11.024692,843.12064,,
BVS,Bioventus Inc.,Healthcare,4.56,,13.151515,273.271584,,
BW,"Babcock & Wilcox Enterprises, Inc.",Industrials,1.35,,66.00001,117.970256,,
BWB,"Bridgewater Bancshares, Inc.",Financial Services,12.76,9.850394,10.008,347.14,,
BWFG,"Bankwell Financial Group, Inc.",Financial Services,29.34,5.942184,7.5,218.742704,2.8800001,17.130000000000003
BXC,BlueLinx Holdings Inc.,Industrials,113.83,10.41915,11.352362,1011.208832,,
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,20.8,17.017242,8.545455,3401.162496,12.560001000000002,213.78999
BY,"Byline Bancorp, Inc.",Financial Services,22.19,8.179775,8.632411,955.807936,1.65,13.48
BYND,"Beyond Meat, Inc.",Consumer Defensive,6.9,,-2.1993356,427.260736,,
BZH,"Beazer Homes USA, Inc.",Consumer Cyclical,32.52,6.153101,5.923507,1001.1696,,
CAC,Camden National Corporation,Financial Services,37.37,10.473837,11.474522,524.81296,4.4699997,48.259997
CADE,Cadence Bank,Financial Services,27.61,13.178218,9.541219,4862.542336,3.76,45.790002
CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,34.64,19.752872,11.195439,1745.07136,3.1400003,62.07
CAL,"Caleres, Inc.",Consumer Cyclical,32.45,7.194954,6.849345,1113.704064,0.89,6.419999999999999
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,55.29,5.984881,31.850573,2714.615552,5.56,46.61
CALX,"Calix, Inc.",Technology,32.64,72.13043,18.230768,2185.467136,,
CANO,"Cano Health, Inc.",Healthcare,2.64,,-0.064057894,12.921536,,
CARA,"Cara Therapeutics, Inc.",Healthcare,0.57,,-0.44888887,30.814282,,
CARE,"Carter Bankshares, Inc.",Financial Services,15.07,14.46,15.0625,331.948096,,
CARG,"CarGurus, Inc.",Consumer Cyclical,23.47,31.835615,18.15625,2609.13152,,
CARS,Cars.com Inc.,Consumer Cyclical,17.76,9.903409,26.815386,1154.378496,,
CASA,"Casa Systems, Inc.",Technology,0.39,,-1.815,35.976568,,
CASH,"Pathward Financial, Inc.",Financial Services,53.71,8.530478,7.798193,1327.944704,0.3899999999999999,3.2899998
CASS,"Cass Information Systems, Inc.",Industrials,44.0,19.798164,13.615142,586.82496,2.78,53.67
CATC,Cambridge Bancorp,Financial Services,70.05,9.81259,10.733959,538.11936,3.7100002,56.14
CATO,The Cato Corporation,Consumer Cyclical,6.98,,5.2000003,139.155952,10.0600004,33057.852
CATY,Cathay General Bancorp,Financial Services,42.26,8.471192,9.399543,2991.778304,3.3099998,27.98
CBAN,"Colony Bankcorp, Inc.",Financial Services,12.81,9.862903,7.7898083,214.81016,3.68,35.480000000000004
CBL,"CBL & Associates Properties, Inc.",Real Estate,23.79,,-59.94872,748.188032,6.419999999999999,
CBNK,"Capital Bancorp, Inc.",Financial Services,22.56,8.533334,8.211321,302.9536,1.49,10.9799996
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Cyclical,78.57,19.681932,14.457944,1716.017408,6.72,132.32001
CBT,Cabot Corporation,Basic Materials,73.85,9.327296,9.730095,3996.445184,2.22,19.92
CBU,"Community Bank System, Inc.",Financial Services,47.31,18.09091,13.266666,2440.776704,3.9300002,70.36
CBZ,"CBIZ, Inc.",Industrials,65.79,26.19753,23.842695,3172.929024,,
CCB,Coastal Financial Corporation,Financial Services,42.0,12.201836,6.4458804,530.8416,,
CCBG,"Capital City Bank Group, Inc.",Financial Services,29.38,8.556887,9.821305,484.431008,2.7999999,21.86
CCCC,"C4 Therapeutics, Inc.",Healthcare,6.04,,-2.618644,304.556576,,
CCNE,CNB Financial Corporation,Financial Services,22.28,8.372549,8.505977,446.138144,3.28,27.450000000000003
CCO,"Clear Channel Outdoor Holdings, Inc.",Communication Services,1.78,,-7.818182,830.777216,,
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,77.46,3.4219859,-21.20879,3753.757184,4.95,16.49
CCRN,"Cross Country Healthcare, Inc.",Healthcare,21.65,7.5088344,14.860141,746.954496,,
CCS,"Century Communities, Inc.",Consumer Cyclical,88.04,11.23057,10.212014,2754.857728,1.06,11.53
CCSI,"Consensus Cloud Solutions, Inc.",Technology,21.33,5.545918,4.094162,416.399264,,
CDE,"Coeur Mining, Inc.",Basic Materials,2.74,,24.454546,1029.220864,,
CDLX,"Cardlytics, Inc.",Communication Services,8.04,,-76.399994,299.901312,,
CDMO,"Avid Bioservices, Inc.",Healthcare,6.81,,-225.66667,428.129376,,
CDNA,"CareDx, Inc",Healthcare,9.29,,-13.806452,463.082336,,
CDRE,"Cadre Holdings, Inc.",Industrials,34.56,35.77895,30.348215,1277.54816,1.0299999,33.68
CDXS,"Codexis, Inc.",Healthcare,2.74,,-3.9253733,183.65344,,
CEIX,CONSOL Energy Inc.,Energy,95.38,4.69712,5.5910163,2933.536512,4.65,16.139999
CELH,"Celsius Holdings, Inc.",Consumer Defensive,50.73,103.958336,51.979168,11560.583168,,
CELU,Celularity Inc.,Healthcare,0.3389,,-0.6666667,81.773336,,
CENN,Cenntro Electric Group Limited,Consumer Cyclical,1.21,,,36.229552,,
CENT,Central Garden & Pet Company,Consumer Defensive,48.07,19.957449,16.870504,2286.670592,,
CENX,Century Aluminum Company,Basic Materials,11.51,,21.037737,1030.312384,,
CERE,"Cerevel Therapeutics Holdings, Inc.",Healthcare,42.1,,-15.931559,7601.833472,,
CERS,Cerus Corporation,Healthcare,1.9,,-16.454546,327.96656,,
CEVA,"CEVA, Inc.",Technology,19.47,,58.18182,452.373152,,
CFB,"CrossFirst Bankshares, Inc.",Financial Services,14.56,10.537313,8.506024,696.622912,,
CFFN,"Capitol Federal Financial, Inc.",Financial Services,6.5,,12.192308,848.976768,5.3600002,79.07
CGEM,"Cullinan Oncology, Inc.",Healthcare,14.45,,-3.6836982,647.698304,,
CHCO,City Holding Company,Financial Services,106.81,13.431011,13.887228,1515.958272,2.7999999,35.02
CHCT,Community Healthcare Trust Incorporated,Real Estate,25.98,106.625,36.557144,697.696,7.1100004,747.92
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,32.6,61.19231,23.746267,1262.146688,,
CHGG,"Chegg, Inc.",Consumer Defensive,9.78,,8.565218,1140.777856,,
CHRD,Chord Energy Corporation,Energy,157.5,6.4442577,7.5151515,6346.966528,7.729999999999999,54.67
CHRS,"Coherus BioSciences, Inc.",Healthcare,2.28,,-8.6,239.432608,,
CHUY,"Chuy's Holdings, Inc.",Consumer Cyclical,34.61,21.398735,17.33846,586.691456,,
CHX,ChampionX Corporation,Energy,28.2,18.152317,13.913705,5339.467776,1.24,21.85
CIFR,Cipher Mining Inc.,Financial Services,2.91,,-17.882353,781.45632,,
CIM,Chimera Investment Corporation,Real Estate,5.01,9.6,6.4864864,1088.4576,14.580000000000002,164.0
CIO,"City Office REIT, Inc.",Real Estate,5.53,,-32.8125,209.67712,7.62,363.64002
CISO,CISO Global Inc.,Technology,0.1,,-0.56647056,17.350948,,
CIVB,"Civista Bancshares, Inc.",Financial Services,17.81,5.893103,7.768182,268.24464,3.78,20.34
CIVI,"Civitas Resources, Inc.",Energy,67.12,7.2171493,5.33855,6542.893056,9.810001,54.120000000000005
CIX,CompX International Inc.,Industrials,24.8169,14.357143,14.981367,297.008864,4.1500002,59.52
CLAR,Clarus Corporation,Consumer Cyclical,6.26,,12.081633,225.844448,1.6900001000000002,14.71
CLBK,"Columbia Financial, Inc.",Financial Services,18.73,51.37143,43.853657,1886.44352,,
CLDT,Chatham Lodging Trust,Real Estate,10.91,350.0,-1050.0,525.773856,2.6700001,933.3301
CLDX,"Celldex Therapeutics, Inc.",Healthcare,36.02,,-11.398059,1926.153728,,
CLFD,"Clearfield, Inc.",Technology,25.72,11.6082945,-1259.5,377.588032,,
CLNE,Clean Energy Fuels Corp.,Energy,3.03,,-32.77778,657.917888,,
CLOV,"Clover Health Investments, Corp.",Healthcare,0.988,,-5.323333,467.26048,,
CLPR,Clipper Realty Inc.,Real Estate,5.14,,12.65,214.44584,7.510000499999999,
CLSK,"CleanSpark, Inc.",Financial Services,8.14,,-36.59091,1582.37248,,
CLW,Clearwater Paper Corporation,Basic Materials,34.0,6.6876273,6.5677295,546.092032,,
CMAX,"CareMax, Inc.",Healthcare,0.4481,,-0.6243636,1.285926,,
CMBM,Cambium Networks Corporation,Technology,4.27,,-19.318182,117.576672,,
CMC,Commercial Metals Company,Basic Materials,52.9,7.9847097,11.182013,6077.781504,1.23000005,9.79
CMCO,Columbus McKinnon Corporation,Industrials,40.91,22.073446,11.559171,1122.797568,0.73,15.82
CMLS,Cumulus Media Inc.,Communication Services,4.84,,-24.210526,75.93772,,
CMP,"Compass Minerals International, Inc.",Basic Materials,23.52,60.783783,16.536764,929.091136,2.6700001,162.16
CMPO,"CompoSecure, Inc.",Industrials,5.2,5.361702,4.6666665,399.748608,,
CMPR,Cimpress plc,Communication Services,78.25,,19.742783,2000.09984,,
CMRE,Costamare Inc.,Industrials,10.98,2.9342465,4.0112357,1261.04896,4.3,12.6
CMRX,"Chimerix, Inc.",Healthcare,0.94,,-1.1419512,83.237808,,
